Serial Floating Division: 1-bit sign, 8-bit exponent, and 23-bit mantissa with 19909 cycles and 139 cells total.
Supports only signed numbers.

Inputs:
	 xs (1-bit): 0 
T17672:	135 = NOR(137, 132)
T17673:	136 = INIT1
T17674:	136 = NOR(135, 137)
T17675:	137 = INIT1
T17676:	137 = NOR(135, 132)
T17677:	130 = INIT1
T17678:	130 = NOR(137, 136)
T17679:	132 = INIT1
T17680:	132 = NOR(134, 135)
T17681:	134 = INIT1
T17682:	134 = NOT(99)
T17683:	135 = INIT1
T17684:	135 = NOR(99, 73)
T17685:	136 = INIT1
T17686:	136 = NOR(134, 129)
T17687:	133 = INIT1
T17688:	133 = NOR(135, 136)
T17689:	134 = INIT1
T17690:	134 = NOR(131, 133)
T17691:	135 = INIT1
T17692:	135 = NOR(131, 134)
T17693:	136 = INIT1
T17694:	136 = NOR(133, 134)
T17695:	137 = INIT1
T17696:	137 = NOR(135, 136)
T17697:	135 = INIT1
T17698:	135 = NOR(137, 132)
T17699:	136 = INIT1
T17700:	136 = NOR(135, 137)
T17701:	137 = INIT1
T17702:	137 = NOR(135, 132)
T17703:	131 = INIT1
T17704:	131 = NOR(137, 136)
T17705:	132 = INIT1
T17706:	132 = NOR(134, 135)
T17707:	134 = INIT1
T17708:	134 = NOT(99)
T17709:	135 = INIT1
T17710:	135 = NOR(99, 73)
T17711:	136 = INIT1
T17712:	136 = NOR(134, 129)
T17713:	133 = INIT1
T17714:	133 = NOR(135, 136)
T17715:	134 = INIT1
T17716:	134 = NOR(103, 133)
T17717:	135 = INIT1
T17718:	135 = NOR(103, 134)
T17719:	136 = INIT1
T17720:	136 = NOR(133, 134)
T17721:	137 = INIT1
T17722:	137 = NOR(135, 136)
T17723:	135 = INIT1
T17724:	135 = NOR(137, 132)
T17725:	136 = INIT1
T17726:	136 = NOR(135, 137)
T17727:	137 = INIT1
T17728:	137 = NOR(135, 132)
T17729:	103 = INIT1
T17730:	103 = NOR(137, 136)
T17731:	132 = INIT1
T17732:	132 = NOR(134, 135)
T17733:	133 = INIT1
T17734:	133 = NOR(104, 73)
T17735:	134 = INIT1
T17736:	134 = NOR(104, 133)
T17737:	135 = INIT1
T17738:	135 = NOR(73, 133)
T17739:	136 = INIT1
T17740:	136 = NOR(134, 135)
T17741:	134 = INIT1
T17742:	134 = NOR(136, 132)
T17743:	135 = INIT1
T17744:	135 = NOR(134, 136)
T17745:	136 = INIT1
T17746:	136 = NOR(134, 132)
T17747:	104 = INIT1
T17748:	104 = NOR(136, 135)
T17749:	132 = INIT1
T17750:	132 = NOR(133, 134)
T17751:	133 = INIT1
T17752:	133 = NOR(105, 73)
T17753:	134 = INIT1
T17754:	134 = NOR(105, 133)
T17755:	135 = INIT1
T17756:	135 = NOR(73, 133)
T17757:	136 = INIT1
T17758:	136 = NOR(134, 135)
T17759:	134 = INIT1
T17760:	134 = NOR(136, 132)
T17761:	135 = INIT1
T17762:	135 = NOR(134, 136)
T17763:	136 = INIT1
T17764:	136 = NOR(134, 132)
T17765:	105 = INIT1
T17766:	105 = NOR(136, 135)
T17767:	132 = INIT1
T17768:	132 = NOR(133, 134)
T17769:	101 = INIT1
T17770:	101 = NOT(105)
T17771:	129 = INIT1
T17772:	129 = NOT(101)
T17773:	134 = INIT1
T17774:	134 = NOT(41)
T17775:	135 = INIT1
T17776:	135 = NOR(41, 101)
T17777:	136 = INIT1
T17778:	136 = NOR(134, 129)
T17779:	133 = INIT1
T17780:	133 = NOR(135, 136)
T17781:	134 = INIT1
T17782:	134 = NOR(99, 133)
T17783:	135 = INIT1
T17784:	135 = NOR(99, 134)
T17785:	136 = INIT1
T17786:	136 = NOR(133, 134)
T17787:	137 = INIT1
T17788:	137 = NOR(135, 136)
T17789:	135 = INIT1
T17790:	135 = NOR(137, 101)
T17791:	136 = INIT1
T17792:	136 = NOR(135, 137)
T17793:	137 = INIT1
T17794:	137 = NOR(135, 101)
T17795:	105 = INIT1
T17796:	105 = NOR(137, 136)
T17797:	132 = INIT1
T17798:	132 = NOR(134, 135)
T17799:	134 = INIT1
T17800:	134 = NOT(42)
T17801:	135 = INIT1
T17802:	135 = NOR(42, 101)
T17803:	136 = INIT1
T17804:	136 = NOR(134, 129)
T17805:	133 = INIT1
T17806:	133 = NOR(135, 136)
T17807:	134 = INIT1
T17808:	134 = NOR(106, 133)
T17809:	135 = INIT1
T17810:	135 = NOR(106, 134)
T17811:	136 = INIT1
T17812:	136 = NOR(133, 134)
T17813:	137 = INIT1
T17814:	137 = NOR(135, 136)
T17815:	135 = INIT1
T17816:	135 = NOR(137, 132)
T17817:	136 = INIT1
T17818:	136 = NOR(135, 137)
T17819:	137 = INIT1
T17820:	137 = NOR(135, 132)
T17821:	106 = INIT1
T17822:	106 = NOR(137, 136)
T17823:	132 = INIT1
T17824:	132 = NOR(134, 135)
T17825:	134 = INIT1
T17826:	134 = NOT(43)
T17827:	135 = INIT1
T17828:	135 = NOR(43, 101)
T17829:	136 = INIT1
T17830:	136 = NOR(134, 129)
T17831:	133 = INIT1
T17832:	133 = NOR(135, 136)
T17833:	134 = INIT1
T17834:	134 = NOR(107, 133)
T17835:	135 = INIT1
T17836:	135 = NOR(107, 134)
T17837:	136 = INIT1
T17838:	136 = NOR(133, 134)
T17839:	137 = INIT1
T17840:	137 = NOR(135, 136)
T17841:	135 = INIT1
T17842:	135 = NOR(137, 132)
T17843:	136 = INIT1
T17844:	136 = NOR(135, 137)
T17845:	137 = INIT1
T17846:	137 = NOR(135, 132)
T17847:	107 = INIT1
T17848:	107 = NOR(137, 136)
T17849:	132 = INIT1
T17850:	132 = NOR(134, 135)
T17851:	134 = INIT1
T17852:	134 = NOT(44)
T17853:	135 = INIT1
T17854:	135 = NOR(44, 101)
T17855:	136 = INIT1
T17856:	136 = NOR(134, 129)
T17857:	133 = INIT1
T17858:	133 = NOR(135, 136)
T17859:	134 = INIT1
T17860:	134 = NOR(108, 133)
T17861:	135 = INIT1
T17862:	135 = NOR(108, 134)
T17863:	136 = INIT1
T17864:	136 = NOR(133, 134)
T17865:	137 = INIT1
T17866:	137 = NOR(135, 136)
T17867:	135 = INIT1
T17868:	135 = NOR(137, 132)
T17869:	136 = INIT1
T17870:	136 = NOR(135, 137)
T17871:	137 = INIT1
T17872:	137 = NOR(135, 132)
T17873:	108 = INIT1
T17874:	108 = NOR(137, 136)
T17875:	132 = INIT1
T17876:	132 = NOR(134, 135)
T17877:	134 = INIT1
T17878:	134 = NOT(45)
T17879:	135 = INIT1
T17880:	135 = NOR(45, 101)
T17881:	136 = INIT1
T17882:	136 = NOR(134, 129)
T17883:	133 = INIT1
T17884:	133 = NOR(135, 136)
T17885:	134 = INIT1
T17886:	134 = NOR(109, 133)
T17887:	135 = INIT1
T17888:	135 = NOR(109, 134)
T17889:	136 = INIT1
T17890:	136 = NOR(133, 134)
T17891:	137 = INIT1
T17892:	137 = NOR(135, 136)
T17893:	135 = INIT1
T17894:	135 = NOR(137, 132)
T17895:	136 = INIT1
T17896:	136 = NOR(135, 137)
T17897:	137 = INIT1
T17898:	137 = NOR(135, 132)
T17899:	109 = INIT1
T17900:	109 = NOR(137, 136)
T17901:	132 = INIT1
T17902:	132 = NOR(134, 135)
T17903:	134 = INIT1
T17904:	134 = NOT(46)
T17905:	135 = INIT1
T17906:	135 = NOR(46, 101)
T17907:	136 = INIT1
T17908:	136 = NOR(134, 129)
T17909:	133 = INIT1
T17910:	133 = NOR(135, 136)
T17911:	134 = INIT1
T17912:	134 = NOR(110, 133)
T17913:	135 = INIT1
T17914:	135 = NOR(110, 134)
T17915:	136 = INIT1
T17916:	136 = NOR(133, 134)
T17917:	137 = INIT1
T17918:	137 = NOR(135, 136)
T17919:	135 = INIT1
T17920:	135 = NOR(137, 132)
T17921:	136 = INIT1
T17922:	136 = NOR(135, 137)
T17923:	137 = INIT1
T17924:	137 = NOR(135, 132)
T17925:	110 = INIT1
T17926:	110 = NOR(137, 136)
T17927:	132 = INIT1
T17928:	132 = NOR(134, 135)
T17929:	134 = INIT1
T17930:	134 = NOT(47)
T17931:	135 = INIT1
T17932:	135 = NOR(47, 101)
T17933:	136 = INIT1
T17934:	136 = NOR(134, 129)
T17935:	133 = INIT1
T17936:	133 = NOR(135, 136)
T17937:	134 = INIT1
T17938:	134 = NOR(111, 133)
T17939:	135 = INIT1
T17940:	135 = NOR(111, 134)
T17941:	136 = INIT1
T17942:	136 = NOR(133, 134)
T17943:	137 = INIT1
T17944:	137 = NOR(135, 136)
T17945:	135 = INIT1
T17946:	135 = NOR(137, 132)
T17947:	136 = INIT1
T17948:	136 = NOR(135, 137)
T17949:	137 = INIT1
T17950:	137 = NOR(135, 132)
T17951:	111 = INIT1
T17952:	111 = NOR(137, 136)
T17953:	132 = INIT1
T17954:	132 = NOR(134, 135)
T17955:	134 = INIT1
T17956:	134 = NOT(48)
T17957:	135 = INIT1
T17958:	135 = NOR(48, 101)
T17959:	136 = INIT1
T17960:	136 = NOR(134, 129)
T17961:	133 = INIT1
T17962:	133 = NOR(135, 136)
T17963:	134 = INIT1
T17964:	134 = NOR(112, 133)
T17965:	135 = INIT1
T17966:	135 = NOR(112, 134)
T17967:	136 = INIT1
T17968:	136 = NOR(133, 134)
T17969:	137 = INIT1
T17970:	137 = NOR(135, 136)
T17971:	135 = INIT1
T17972:	135 = NOR(137, 132)
T17973:	136 = INIT1
T17974:	136 = NOR(135, 137)
T17975:	137 = INIT1
T17976:	137 = NOR(135, 132)
T17977:	112 = INIT1
T17978:	112 = NOR(137, 136)
T17979:	132 = INIT1
T17980:	132 = NOR(134, 135)
T17981:	134 = INIT1
T17982:	134 = NOT(49)
T17983:	135 = INIT1
T17984:	135 = NOR(49, 101)
T17985:	136 = INIT1
T17986:	136 = NOR(134, 129)
T17987:	133 = INIT1
T17988:	133 = NOR(135, 136)
T17989:	134 = INIT1
T17990:	134 = NOR(113, 133)
T17991:	135 = INIT1
T17992:	135 = NOR(113, 134)
T17993:	136 = INIT1
T17994:	136 = NOR(133, 134)
T17995:	137 = INIT1
T17996:	137 = NOR(135, 136)
T17997:	135 = INIT1
T17998:	135 = NOR(137, 132)
T17999:	136 = INIT1
T18000:	136 = NOR(135, 137)
T18001:	137 = INIT1
T18002:	137 = NOR(135, 132)
T18003:	113 = INIT1
T18004:	113 = NOR(137, 136)
T18005:	132 = INIT1
T18006:	132 = NOR(134, 135)
T18007:	134 = INIT1
T18008:	134 = NOT(50)
T18009:	135 = INIT1
T18010:	135 = NOR(50, 101)
T18011:	136 = INIT1
T18012:	136 = NOR(134, 129)
T18013:	133 = INIT1
T18014:	133 = NOR(135, 136)
T18015:	134 = INIT1
T18016:	134 = NOR(114, 133)
T18017:	135 = INIT1
T18018:	135 = NOR(114, 134)
T18019:	136 = INIT1
T18020:	136 = NOR(133, 134)
T18021:	137 = INIT1
T18022:	137 = NOR(135, 136)
T18023:	135 = INIT1
T18024:	135 = NOR(137, 132)
T18025:	136 = INIT1
T18026:	136 = NOR(135, 137)
T18027:	137 = INIT1
T18028:	137 = NOR(135, 132)
T18029:	114 = INIT1
T18030:	114 = NOR(137, 136)
T18031:	132 = INIT1
T18032:	132 = NOR(134, 135)
T18033:	134 = INIT1
T18034:	134 = NOT(51)
T18035:	135 = INIT1
T18036:	135 = NOR(51, 101)
T18037:	136 = INIT1
T18038:	136 = NOR(134, 129)
T18039:	133 = INIT1
T18040:	133 = NOR(135, 136)
T18041:	134 = INIT1
T18042:	134 = NOR(115, 133)
T18043:	135 = INIT1
T18044:	135 = NOR(115, 134)
T18045:	136 = INIT1
T18046:	136 = NOR(133, 134)
T18047:	137 = INIT1
T18048:	137 = NOR(135, 136)
T18049:	135 = INIT1
T18050:	135 = NOR(137, 132)
T18051:	136 = INIT1
T18052:	136 = NOR(135, 137)
T18053:	137 = INIT1
T18054:	137 = NOR(135, 132)
T18055:	115 = INIT1
T18056:	115 = NOR(137, 136)
T18057:	132 = INIT1
T18058:	132 = NOR(134, 135)
T18059:	134 = INIT1
T18060:	134 = NOT(52)
T18061:	135 = INIT1
T18062:	135 = NOR(52, 101)
T18063:	136 = INIT1
T18064:	136 = NOR(134, 129)
T18065:	133 = INIT1
T18066:	133 = NOR(135, 136)
T18067:	134 = INIT1
T18068:	134 = NOR(116, 133)
T18069:	135 = INIT1
T18070:	135 = NOR(116, 134)
T18071:	136 = INIT1
T18072:	136 = NOR(133, 134)
T18073:	137 = INIT1
T18074:	137 = NOR(135, 136)
T18075:	135 = INIT1
T18076:	135 = NOR(137, 132)
T18077:	136 = INIT1
T18078:	136 = NOR(135, 137)
T18079:	137 = INIT1
T18080:	137 = NOR(135, 132)
T18081:	116 = INIT1
T18082:	116 = NOR(137, 136)
T18083:	132 = INIT1
T18084:	132 = NOR(134, 135)
T18085:	134 = INIT1
T18086:	134 = NOT(53)
T18087:	135 = INIT1
T18088:	135 = NOR(53, 101)
T18089:	136 = INIT1
T18090:	136 = NOR(134, 129)
T18091:	133 = INIT1
T18092:	133 = NOR(135, 136)
T18093:	134 = INIT1
T18094:	134 = NOR(117, 133)
T18095:	135 = INIT1
T18096:	135 = NOR(117, 134)
T18097:	136 = INIT1
T18098:	136 = NOR(133, 134)
T18099:	137 = INIT1
T18100:	137 = NOR(135, 136)
T18101:	135 = INIT1
T18102:	135 = NOR(137, 132)
T18103:	136 = INIT1
T18104:	136 = NOR(135, 137)
T18105:	137 = INIT1
T18106:	137 = NOR(135, 132)
T18107:	117 = INIT1
T18108:	117 = NOR(137, 136)
T18109:	132 = INIT1
T18110:	132 = NOR(134, 135)
T18111:	134 = INIT1
T18112:	134 = NOT(54)
T18113:	135 = INIT1
T18114:	135 = NOR(54, 101)
T18115:	136 = INIT1
T18116:	136 = NOR(134, 129)
T18117:	133 = INIT1
T18118:	133 = NOR(135, 136)
T18119:	134 = INIT1
T18120:	134 = NOR(118, 133)
T18121:	135 = INIT1
T18122:	135 = NOR(118, 134)
T18123:	136 = INIT1
T18124:	136 = NOR(133, 134)
T18125:	137 = INIT1
T18126:	137 = NOR(135, 136)
T18127:	135 = INIT1
T18128:	135 = NOR(137, 132)
T18129:	136 = INIT1
T18130:	136 = NOR(135, 137)
T18131:	137 = INIT1
T18132:	137 = NOR(135, 132)
T18133:	118 = INIT1
T18134:	118 = NOR(137, 136)
T18135:	132 = INIT1
T18136:	132 = NOR(134, 135)
T18137:	134 = INIT1
T18138:	134 = NOT(55)
T18139:	135 = INIT1
T18140:	135 = NOR(55, 101)
T18141:	136 = INIT1
T18142:	136 = NOR(134, 129)
T18143:	133 = INIT1
T18144:	133 = NOR(135, 136)
T18145:	134 = INIT1
T18146:	134 = NOR(119, 133)
T18147:	135 = INIT1
T18148:	135 = NOR(119, 134)
T18149:	136 = INIT1
T18150:	136 = NOR(133, 134)
T18151:	137 = INIT1
T18152:	137 = NOR(135, 136)
T18153:	135 = INIT1
T18154:	135 = NOR(137, 132)
T18155:	136 = INIT1
T18156:	136 = NOR(135, 137)
T18157:	137 = INIT1
T18158:	137 = NOR(135, 132)
T18159:	119 = INIT1
T18160:	119 = NOR(137, 136)
T18161:	132 = INIT1
T18162:	132 = NOR(134, 135)
T18163:	134 = INIT1
T18164:	134 = NOT(56)
T18165:	135 = INIT1
T18166:	135 = NOR(56, 101)
T18167:	136 = INIT1
T18168:	136 = NOR(134, 129)
T18169:	133 = INIT1
T18170:	133 = NOR(135, 136)
T18171:	134 = INIT1
T18172:	134 = NOR(120, 133)
T18173:	135 = INIT1
T18174:	135 = NOR(120, 134)
T18175:	136 = INIT1
T18176:	136 = NOR(133, 134)
T18177:	137 = INIT1
T18178:	137 = NOR(135, 136)
T18179:	135 = INIT1
T18180:	135 = NOR(137, 132)
T18181:	136 = INIT1
T18182:	136 = NOR(135, 137)
T18183:	137 = INIT1
T18184:	137 = NOR(135, 132)
T18185:	120 = INIT1
T18186:	120 = NOR(137, 136)
T18187:	132 = INIT1
T18188:	132 = NOR(134, 135)
T18189:	134 = INIT1
T18190:	134 = NOT(57)
T18191:	135 = INIT1
T18192:	135 = NOR(57, 101)
T18193:	136 = INIT1
T18194:	136 = NOR(134, 129)
T18195:	133 = INIT1
T18196:	133 = NOR(135, 136)
T18197:	134 = INIT1
T18198:	134 = NOR(121, 133)
T18199:	135 = INIT1
T18200:	135 = NOR(121, 134)
T18201:	136 = INIT1
T18202:	136 = NOR(133, 134)
T18203:	137 = INIT1
T18204:	137 = NOR(135, 136)
T18205:	135 = INIT1
T18206:	135 = NOR(137, 132)
T18207:	136 = INIT1
T18208:	136 = NOR(135, 137)
T18209:	137 = INIT1
T18210:	137 = NOR(135, 132)
T18211:	121 = INIT1
T18212:	121 = NOR(137, 136)
T18213:	132 = INIT1
T18214:	132 = NOR(134, 135)
T18215:	134 = INIT1
T18216:	134 = NOT(58)
T18217:	135 = INIT1
T18218:	135 = NOR(58, 101)
T18219:	136 = INIT1
T18220:	136 = NOR(134, 129)
T18221:	133 = INIT1
T18222:	133 = NOR(135, 136)
T18223:	134 = INIT1
T18224:	134 = NOR(122, 133)
T18225:	135 = INIT1
T18226:	135 = NOR(122, 134)
T18227:	136 = INIT1
T18228:	136 = NOR(133, 134)
T18229:	137 = INIT1
T18230:	137 = NOR(135, 136)
T18231:	135 = INIT1
T18232:	135 = NOR(137, 132)
T18233:	136 = INIT1
T18234:	136 = NOR(135, 137)
T18235:	137 = INIT1
T18236:	137 = NOR(135, 132)
T18237:	122 = INIT1
T18238:	122 = NOR(137, 136)
T18239:	132 = INIT1
T18240:	132 = NOR(134, 135)
T18241:	134 = INIT1
T18242:	134 = NOT(59)
T18243:	135 = INIT1
T18244:	135 = NOR(59, 101)
T18245:	136 = INIT1
T18246:	136 = NOR(134, 129)
T18247:	133 = INIT1
T18248:	133 = NOR(135, 136)
T18249:	134 = INIT1
T18250:	134 = NOR(123, 133)
T18251:	135 = INIT1
T18252:	135 = NOR(123, 134)
T18253:	136 = INIT1
T18254:	136 = NOR(133, 134)
T18255:	137 = INIT1
T18256:	137 = NOR(135, 136)
T18257:	135 = INIT1
T18258:	135 = NOR(137, 132)
T18259:	136 = INIT1
T18260:	136 = NOR(135, 137)
T18261:	137 = INIT1
T18262:	137 = NOR(135, 132)
T18263:	123 = INIT1
T18264:	123 = NOR(137, 136)
T18265:	132 = INIT1
T18266:	132 = NOR(134, 135)
T18267:	134 = INIT1
T18268:	134 = NOT(60)
T18269:	135 = INIT1
T18270:	135 = NOR(60, 101)
T18271:	136 = INIT1
T18272:	136 = NOR(134, 129)
T18273:	133 = INIT1
T18274:	133 = NOR(135, 136)
T18275:	134 = INIT1
T18276:	134 = NOR(124, 133)
T18277:	135 = INIT1
T18278:	135 = NOR(124, 134)
T18279:	136 = INIT1
T18280:	136 = NOR(133, 134)
T18281:	137 = INIT1
T18282:	137 = NOR(135, 136)
T18283:	135 = INIT1
T18284:	135 = NOR(137, 132)
T18285:	136 = INIT1
T18286:	136 = NOR(135, 137)
T18287:	137 = INIT1
T18288:	137 = NOR(135, 132)
T18289:	124 = INIT1
T18290:	124 = NOR(137, 136)
T18291:	132 = INIT1
T18292:	132 = NOR(134, 135)
T18293:	134 = INIT1
T18294:	134 = NOT(61)
T18295:	135 = INIT1
T18296:	135 = NOR(61, 101)
T18297:	136 = INIT1
T18298:	136 = NOR(134, 129)
T18299:	133 = INIT1
T18300:	133 = NOR(135, 136)
T18301:	134 = INIT1
T18302:	134 = NOR(125, 133)
T18303:	135 = INIT1
T18304:	135 = NOR(125, 134)
T18305:	136 = INIT1
T18306:	136 = NOR(133, 134)
T18307:	137 = INIT1
T18308:	137 = NOR(135, 136)
T18309:	135 = INIT1
T18310:	135 = NOR(137, 132)
T18311:	136 = INIT1
T18312:	136 = NOR(135, 137)
T18313:	137 = INIT1
T18314:	137 = NOR(135, 132)
T18315:	125 = INIT1
T18316:	125 = NOR(137, 136)
T18317:	132 = INIT1
T18318:	132 = NOR(134, 135)
T18319:	134 = INIT1
T18320:	134 = NOT(62)
T18321:	135 = INIT1
T18322:	135 = NOR(62, 101)
T18323:	136 = INIT1
T18324:	136 = NOR(134, 129)
T18325:	133 = INIT1
T18326:	133 = NOR(135, 136)
T18327:	134 = INIT1
T18328:	134 = NOR(126, 133)
T18329:	135 = INIT1
T18330:	135 = NOR(126, 134)
T18331:	136 = INIT1
T18332:	136 = NOR(133, 134)
T18333:	137 = INIT1
T18334:	137 = NOR(135, 136)
T18335:	135 = INIT1
T18336:	135 = NOR(137, 132)
T18337:	136 = INIT1
T18338:	136 = NOR(135, 137)
T18339:	137 = INIT1
T18340:	137 = NOR(135, 132)
T18341:	126 = INIT1
T18342:	126 = NOR(137, 136)
T18343:	132 = INIT1
T18344:	132 = NOR(134, 135)
T18345:	134 = INIT1
T18346:	134 = NOT(63)
T18347:	135 = INIT1
T18348:	135 = NOR(63, 101)
T18349:	136 = INIT1
T18350:	136 = NOR(134, 129)
T18351:	133 = INIT1
T18352:	133 = NOR(135, 136)
T18353:	134 = INIT1
T18354:	134 = NOR(127, 133)
T18355:	135 = INIT1
T18356:	135 = NOR(127, 134)
T18357:	136 = INIT1
T18358:	136 = NOR(133, 134)
T18359:	137 = INIT1
T18360:	137 = NOR(135, 136)
T18361:	135 = INIT1
T18362:	135 = NOR(137, 132)
T18363:	136 = INIT1
T18364:	136 = NOR(135, 137)
T18365:	137 = INIT1
T18366:	137 = NOR(135, 132)
T18367:	127 = INIT1
T18368:	127 = NOR(137, 136)
T18369:	132 = INIT1
T18370:	132 = NOR(134, 135)
T18371:	134 = INIT1
T18372:	134 = NOT(97)
T18373:	135 = INIT1
T18374:	135 = NOR(97, 101)
T18375:	136 = INIT1
T18376:	136 = NOR(134, 129)
T18377:	133 = INIT1
T18378:	133 = NOR(135, 136)
T18379:	134 = INIT1
T18380:	134 = NOR(128, 133)
T18381:	135 = INIT1
T18382:	135 = NOR(128, 134)
T18383:	136 = INIT1
T18384:	136 = NOR(133, 134)
T18385:	137 = INIT1
T18386:	137 = NOR(135, 136)
T18387:	135 = INIT1
T18388:	135 = NOR(137, 132)
T18389:	136 = INIT1
T18390:	136 = NOR(135, 137)
T18391:	137 = INIT1
T18392:	137 = NOR(135, 132)
T18393:	128 = INIT1
T18394:	128 = NOR(137, 136)
T18395:	132 = INIT1
T18396:	132 = NOR(134, 135)
T18397:	134 = INIT1
T18398:	134 = NOT(99)
T18399:	135 = INIT1
T18400:	135 = NOR(99, 101)
T18401:	136 = INIT1
T18402:	136 = NOR(134, 129)
T18403:	133 = INIT1
T18404:	133 = NOR(135, 136)
T18405:	134 = INIT1
T18406:	134 = NOR(130, 133)
T18407:	135 = INIT1
T18408:	135 = NOR(130, 134)
T18409:	136 = INIT1
T18410:	136 = NOR(133, 134)
T18411:	137 = INIT1
T18412:	137 = NOR(135, 136)
T18413:	135 = INIT1
T18414:	135 = NOR(137, 132)
T18415:	136 = INIT1
T18416:	136 = NOR(135, 137)
T18417:	137 = INIT1
T18418:	137 = NOR(135, 132)
T18419:	130 = INIT1
T18420:	130 = NOR(137, 136)
T18421:	132 = INIT1
T18422:	132 = NOR(134, 135)
T18423:	134 = INIT1
T18424:	134 = NOT(99)
T18425:	135 = INIT1
T18426:	135 = NOR(99, 101)
T18427:	136 = INIT1
T18428:	136 = NOR(134, 129)
T18429:	133 = INIT1
T18430:	133 = NOR(135, 136)
T18431:	134 = INIT1
T18432:	134 = NOR(131, 133)
T18433:	135 = INIT1
T18434:	135 = NOR(131, 134)
T18435:	136 = INIT1
T18436:	136 = NOR(133, 134)
T18437:	137 = INIT1
T18438:	137 = NOR(135, 136)
T18439:	135 = INIT1
T18440:	135 = NOR(137, 132)
T18441:	136 = INIT1
T18442:	136 = NOR(135, 137)
T18443:	137 = INIT1
T18444:	137 = NOR(135, 132)
T18445:	131 = INIT1
T18446:	131 = NOR(137, 136)
T18447:	132 = INIT1
T18448:	132 = NOR(134, 135)
T18449:	133 = INIT1
T18450:	133 = NOR(103, 101)
T18451:	134 = INIT1
T18452:	134 = NOR(103, 133)
T18453:	135 = INIT1
T18454:	135 = NOR(101, 133)
T18455:	136 = INIT1
T18456:	136 = NOR(134, 135)
T18457:	134 = INIT1
T18458:	134 = NOR(136, 132)
T18459:	135 = INIT1
T18460:	135 = NOR(134, 136)
T18461:	136 = INIT1
T18462:	136 = NOR(134, 132)
T18463:	103 = INIT1
T18464:	103 = NOR(136, 135)
T18465:	132 = INIT1
T18466:	132 = NOR(133, 134)
T18467:	133 = INIT1
T18468:	133 = NOR(104, 101)
T18469:	134 = INIT1
T18470:	134 = NOR(104, 133)
T18471:	135 = INIT1
T18472:	135 = NOR(101, 133)
T18473:	136 = INIT1
T18474:	136 = NOR(134, 135)
T18475:	134 = INIT1
T18476:	134 = NOR(136, 132)
T18477:	135 = INIT1
T18478:	135 = NOR(134, 136)
T18479:	136 = INIT1
T18480:	136 = NOR(134, 132)
T18481:	104 = INIT1
T18482:	104 = NOR(136, 135)
T18483:	132 = INIT1
T18484:	132 = NOR(133, 134)
T18485:	102 = INIT1
T18486:	102 = NOT(104)
T18487:	129 = INIT1
T18488:	129 = NOT(104)
T18489:	132 = INIT0
T18490:	133 = INIT1
T18491:	133 = NOT(41)
T18492:	134 = INIT1
T18493:	134 = NOR(129, 133)
T18494:	135 = INIT1
T18495:	135 = NOR(105, 134)
T18496:	136 = INIT1
T18497:	136 = NOR(105, 135)
T18498:	137 = INIT1
T18499:	137 = NOR(134, 135)
T18500:	138 = INIT1
T18501:	138 = NOR(136, 137)
T18502:	136 = INIT1
T18503:	136 = NOR(138, 132)
T18504:	137 = INIT1
T18505:	137 = NOR(136, 138)
T18506:	138 = INIT1
T18507:	138 = NOR(136, 132)
T18508:	103 = INIT1
T18509:	103 = NOR(138, 137)
T18510:	132 = INIT1
T18511:	132 = NOR(135, 136)
T18512:	133 = INIT1
T18513:	133 = NOT(42)
T18514:	134 = INIT1
T18515:	134 = NOR(129, 133)
T18516:	135 = INIT1
T18517:	135 = NOR(106, 134)
T18518:	136 = INIT1
T18519:	136 = NOR(106, 135)
T18520:	137 = INIT1
T18521:	137 = NOR(134, 135)
T18522:	138 = INIT1
T18523:	138 = NOR(136, 137)
T18524:	136 = INIT1
T18525:	136 = NOR(138, 132)
T18526:	137 = INIT1
T18527:	137 = NOR(136, 138)
T18528:	138 = INIT1
T18529:	138 = NOR(136, 132)
T18530:	104 = INIT1
T18531:	104 = NOR(138, 137)
T18532:	132 = INIT1
T18533:	132 = NOR(135, 136)
T18534:	133 = INIT1
T18535:	133 = NOT(43)
T18536:	134 = INIT1
T18537:	134 = NOR(129, 133)
T18538:	135 = INIT1
T18539:	135 = NOR(107, 134)
T18540:	136 = INIT1
T18541:	136 = NOR(107, 135)
T18542:	137 = INIT1
T18543:	137 = NOR(134, 135)
T18544:	138 = INIT1
T18545:	138 = NOR(136, 137)
T18546:	136 = INIT1
T18547:	136 = NOR(138, 132)
T18548:	137 = INIT1
T18549:	137 = NOR(136, 138)
T18550:	138 = INIT1
T18551:	138 = NOR(136, 132)
T18552:	105 = INIT1
T18553:	105 = NOR(138, 137)
T18554:	132 = INIT1
T18555:	132 = NOR(135, 136)
T18556:	133 = INIT1
T18557:	133 = NOT(44)
T18558:	134 = INIT1
T18559:	134 = NOR(129, 133)
T18560:	135 = INIT1
T18561:	135 = NOR(108, 134)
T18562:	136 = INIT1
T18563:	136 = NOR(108, 135)
T18564:	137 = INIT1
T18565:	137 = NOR(134, 135)
T18566:	138 = INIT1
T18567:	138 = NOR(136, 137)
T18568:	136 = INIT1
T18569:	136 = NOR(138, 132)
T18570:	137 = INIT1
T18571:	137 = NOR(136, 138)
T18572:	138 = INIT1
T18573:	138 = NOR(136, 132)
T18574:	106 = INIT1
T18575:	106 = NOR(138, 137)
